No,カード名,カテゴリー,種類,場所
1,ゴギガ・ガガギゴ,モンスター,通常,メイン
2,火炎木人１８,モンスター,通常,メイン
3,バトルフットボーラー,モンスター,通常,メイン
4,ターレット・ウォリアー,モンスター,効果,メイン
5,ゴブリン突撃部隊,モンスター,効果,メイン
6,パワード・チューナー,モンスター,効果,メイン
7,ラピッド・ウォリアー,モンスター,効果,メイン
8,荒野の女戦士,モンスター,効果,メイン
9,切り込み隊長,モンスター,効果,メイン
10,隼の騎士,モンスター,効果,メイン
11,レベル・ウォリアー,モンスター,効果,メイン
12,スピード・ウォリアー,モンスター,効果,メイン
13,ボルト・ヘッジホッグ,モンスター,効果,メイン
14,シンクロン・エクスプローラー,モンスター,効果,メイン
15,チューン・ウォリアー,モンスター,通常,メイン
16,ウォーター・スピリット,モンスター,通常,メイン
17,ハイパー・シンクロン,モンスター,効果,メイン
18,ジャンク・シンクロン,モンスター,効果,メイン
19,マジカルフィシアリスト,モンスター,効果,メイン
20,赤い忍者,モンスター,効果,メイン
21,ハンマーシュート,魔法,通常,メイン
22,死者転生,魔法,通常,メイン
23,増援,魔法,通常,メイン
24,戦士の生還,魔法,通常,メイン
25,ツイスター,魔法,速攻,メイン
26,エネミーコントローラー,魔法,速攻,メイン
27,ハーフ・シャット,魔法,速攻,メイン
28,勇気の旗印,魔法,永続,メイン
29,進化する人類,魔法,装備,メイン
30,シンクロ・ヒーロー,魔法,装備,メイン
31,バイバイダメージ,罠,通常,メイン
32,砂塵の大竜巻,罠,通常,メイン
33,落とし穴,罠,通常,メイン
34,サンダー・ブレイク,罠,通常,メイン
35,荒野の大竜巻,罠,通常,メイン
36,ガード・ブロック,罠,通常,メイン
37,仕込みマシンガン,罠,通常,メイン
38,リミット・リバース,罠,永続,メイン
39,エンジェル・リフト,罠,永続,メイン
40,マジック・ジャマー,罠,カウンター,メイン
41,大地の騎士ガイアナイト,モンスター,シンクロ,エクストラ
42,ジャンク・デストロイヤー,モンスター,シンクロ,エクストラ
43,ジャンク・ウォリアー,モンスター,シンクロ,エクストラ
