No,カード名,カテゴリー,種類,場所
1,ＳＲビードロ・ドクロ,モンスター,効果,メイン
2,ＳＲパッシングライダー,モンスター,効果,メイン
3,ＳＲパッシングライダー,モンスター,効果,メイン
4,ＳＲ５６プレーン,モンスター,効果,メイン
5,ＳＲシェイブー・メラン,モンスター,効果,メイン
6,ＳＲパチンゴーカート,モンスター,効果,メイン
7,ＳＲダブルヨーヨー,モンスター,効果,メイン
8,ＳＲダブルヨーヨー,モンスター,効果,メイン
9,ＳＲバンブー・ホース,モンスター,効果,メイン
10,ＳＲバンブー・ホース,モンスター,効果,メイン
11,ＳＲビードロ・ドクロ,モンスター,効果,メイン
12,ＳＲベイゴマックス,モンスター,効果,メイン
13,ＳＲ電々大公,モンスター,効果,メイン
14,ＳＲ電々大公,モンスター,効果,メイン
15,ＳＲオハジキッド,モンスター,効果,メイン
16,ＳＲタケトンボーグ,モンスター,効果,メイン
17,ＳＲタケトンボーグ,モンスター,効果,メイン
18,ＳＲ三つ目のダイス,モンスター,効果,メイン
19,ＳＲ三つ目のダイス,モンスター,効果,メイン
20,ＳＲドミノバタフライ,モンスター,効果,メイン
21,ＳＲドミノバタフライ,モンスター,効果,メイン
22,ＳＲ赤目のダイス,モンスター,効果,メイン
23,ＳＲ赤目のダイス,モンスター,効果,メイン
24,ＳＲ－ＯＭＫガム,モンスター,効果,メイン
25,ＳＲアクマグネ,モンスター,効果,メイン
26,シャッフル・リボーン,魔法,通常,メイン
27,ハイ・スピード・リレベル,魔法,通常,メイン
28,ヒドゥン・ショット,魔法,通常,メイン
29,手札抹殺,魔法,通常,メイン
30,スピードリバース,魔法,通常,メイン
31,スピードリバース,魔法,通常,メイン
32,スピードリフト,魔法,速攻,メイン
33,マシン・デベロッパー,魔法,永続,メイン
34,機甲部隊の最前線,魔法,永続,メイン
35,重力砲,魔法,装備,メイン
36,ロスト・スター・ディセント,罠,通常,メイン
37,パルス・ボム,罠,通常,メイン
38,リジェクト・リボーン,罠,通常,メイン
39,リサイコロ,罠,通常,メイン
40,ダイスロール・バトル,罠,通常,メイン
41,ＨＳＲカイドレイク,モンスター,シンクロ,エクストラ
42,ＨＳＲ魔剣ダーマ,モンスター,シンクロ,エクストラ
43,ＨＳＲマッハゴー・イータ,モンスター,シンクロ,エクストラ
44,ＨＳＲチャンバライダー,モンスター,シンクロ,エクストラ
45,ＨＳＲ快刀乱破ズール,モンスター,シンクロ,エクストラ
