No,カード名,カテゴリー,種類,場所
1,オッドアイズ・ドラゴン,モンスター,通常,メイン
2,ＥＭハンサムライガー,モンスター,通常,メイン
3,ＥＭヘイタイガー,モンスター,通常,メイン
4,ＥＭウィップ・バイパー,モンスター,通常,メイン
5,ＥＭボットアイズ・リザード,モンスター,通常,メイン
6,ＥＭヘルプリンセス,モンスター,通常,メイン
7,ＥＭセカンドンキー,モンスター,通常,メイン
8,ＥＭディスカバー・ヒッポ,モンスター,通常,メイン
9,ＥＭソード・フィッシュ,モンスター,通常,メイン
10,時の魔術師,モンスター,通常,メイン
11,ＥＭレインゴート,モンスター,通常,メイン
12,オッドアイズ・ペンデュラム・ドラゴン,モンスター,通常,メイン
13,ＥＭオッドアイズ・ライトフェニックス,モンスター,通常,メイン
14,星読みの魔術師,モンスター,通常,メイン
15,オッドアイズ・ペルソナ・ドラゴン,モンスター,通常,メイン
16,ＥＭゴールド・ファング,モンスター,通常,メイン
17,ＥＭシルバー・クロウ,モンスター,通常,メイン
18,ＥＭオッドアイズ・ミノタウロス,モンスター,通常,メイン
19,時読みの魔術師,モンスター,通常,メイン
20,オッドアイズ・ミラージュ・ドラゴン,モンスター,通常,メイン
21,ＥＭウィム・ウィッチ,モンスター,通常,メイン
22,ＥＭインコーラス,モンスター,通常,メイン
23,ＥＭヒックリカエル,モンスター,通常,メイン
24,ＥＭオッドアイズ・ユニコーン,モンスター,通常,メイン
25,貴竜の魔術師,モンスター,通常,メイン
26,ＥＭキャスト・チェンジ,魔法,通常,メイン
27,螺旋のストライクバースト,魔法,通常,メイン
28,スマイル・ワールド,魔法,通常,メイン
29,ペンデュラム・コール,魔法,通常,メイン
30,融合,魔法,通常,メイン
31,融合,魔法,通常,メイン
32,サイクロン,魔法,通常,メイン
33,イリュージョン・バルーン,魔法,通常,メイン
34,禁じられた聖槍,魔法,通常,メイン
35,天空の虹彩,魔法,通常,メイン
36,小人のいたずら,罠,永続,メイン
37,ペンデュラム・バック,罠,永続,メイン
38,ドタキャン,罠,永続,メイン
39,ペンデュラム・スイッチ,罠,永続,メイン
40,ＥＭピンチヘルパー,罠,永続,メイン
41,ＥＭオッドアイズ・メタル・クロウ,モンスター,通常,エクストラ
42,覚醒の魔導剣士,モンスター,通常,エクストラ
43,希望の魔術師,モンスター,エクシーズ,エクストラ
