No,カード名,カテゴリー,種類,場所
1,Ｅ・ＨＥＲＯ ネオス,モンスター,通常,メイン
2,Ｅ・ＨＥＲＯ フェザーマン,モンスター,通常,メイン
3,Ｅ・ＨＥＲＯ エッジマン,モンスター,効果,メイン
4,無敗将軍 フリード,モンスター,効果,メイン
5,Ｅ・ＨＥＲＯ ネクロダークマン,モンスター,効果,メイン
6,Ｅ・ＨＥＲＯ アナザー・ネオス,モンスター,効果,メイン
7,錬金生物 ホムンクルス,モンスター,効果,メイン
8,Ｅ・ＨＥＲＯ ザ・ヒート,モンスター,効果,メイン
9,Ｅ・ＨＥＲＯ ワイルドマン,モンスター,効果,メイン
10,Ｅ・ＨＥＲＯ オーシャン,モンスター,効果,メイン
11,Ｅ・ＨＥＲＯ フォレストマン,モンスター,効果,メイン
12,Ｅ・ＨＥＲＯ ボルテック,モンスター,効果,メイン
13,Ｅ・ＨＥＲＯ シャドー・ミスト,モンスター,効果,メイン
14,召喚僧サモンプリースト,モンスター,効果,メイン
15,Ｅ・ＨＥＲＯ バブルマン,モンスター,効果,メイン
16,Ｎ・グラン・モール,モンスター,効果,メイン
17,カードガンナー,モンスター,効果,メイン
18,クリボー,モンスター,効果,メイン
19,サクリボー,モンスター,効果,メイン
20,Ｅ－エマージェンシーコール,魔法,通常,メイン
21,ヒーローアライブ,魔法,通常,メイン
22,融合,魔法,通常,メイン
23,増援,魔法,通常,メイン
24,Ｒ－ライトジャスティス,魔法,通常,メイン
25,ミラクル・フュージョン,魔法,通常,メイン
26,平行世界融合,魔法,通常,メイン
27,Ｏ－オーバーソウル,魔法,通常,メイン
28,Ｈ－ヒートハート,魔法,通常,メイン
29,ヒーロー・マスク,魔法,通常,メイン
30,マスク・チャージ,魔法,通常,メイン
31,戦士の生還,魔法,通常,メイン
32,強欲で謙虚な壺,魔法,通常,メイン
33,マスク・チェンジ,魔法,速攻,メイン
34,フォーム・チェンジ,魔法,速攻,メイン
35,マスク・チェンジ・セカンド,魔法,速攻,メイン
36,ヒーロー・シグナル,罠,通常,メイン
37,ヒーロー・ブラスト,罠,通常,メイン
38,バーバリアン・ハウリング,罠,通常,メイン
39,強化蘇生,罠,永続,メイン
40,リビングデッドの呼び声,罠,永続,メイン
41,Ｃ・ＨＥＲＯ カオス,モンスター,融合,エクストラ
42,Ｅ・ＨＥＲＯ Ｇｒｅａｔ ＴＯＲＮＡＤＯ,モンスター,融合,エクストラ
43,Ｍ・ＨＥＲＯ カミカゼ,モンスター,融合,エクストラ
44,Ｍ・ＨＥＲＯ 光牙,モンスター,融合,エクストラ
