No,カード名,カテゴリー,種類,場所
1,メタルフォーゼ・ヴォルフレイム,モンスター,通常,メイン
2,イグナイト・キャリバー,モンスター,通常,メイン
3,イグナイト・キャリバー,モンスター,通常,メイン
4,イグナイト・ウージー,モンスター,通常,メイン
5,イグナイト・ウージー,モンスター,通常,メイン
6,イグナイト・デリンジャー,モンスター,通常,メイン
7,イグナイト・デリンジャー,モンスター,通常,メイン
8,イグナイト・ライオット,モンスター,通常,メイン
9,イグナイト・ライオット,モンスター,通常,メイン
10,メタルフォーゼ・ゴルドライバー,モンスター,通常,メイン
11,メタルフォーゼ・ゴルドライバー,モンスター,通常,メイン
12,イグナイト・ドラグノフ,モンスター,通常,メイン
13,イグナイト・ドラグノフ,モンスター,通常,メイン
14,イグナイト・マスケット,モンスター,通常,メイン
15,イグナイト・マスケット,モンスター,通常,メイン
16,メタルフォーゼ・シルバード,モンスター,通常,メイン
17,メタルフォーゼ・シルバード,モンスター,通常,メイン
18,イグナイト・イーグル,モンスター,通常,メイン
19,イグナイト・イーグル,モンスター,通常,メイン
20,イグナイト・マグナム,モンスター,通常,メイン
21,イグナイト・マグナム,モンスター,通常,メイン
22,魔装戦士 ヴァンドラ,モンスター,通常,メイン
23,魔装戦士 ドラゴノックス,モンスター,通常,メイン
24,魔装戦士 ドラゴディウス,モンスター,通常,メイン
25,増援,魔法,通常,メイン
26,ペンデュラム・ホルト,魔法,通常,メイン
27,ペンデュラム・ホルト,魔法,通常,メイン
28,ペンデュラム・フュージョン,魔法,通常,メイン
29,ペンデュラム・フュージョン,魔法,通常,メイン
30,ペンデュラム・アライズ,魔法,通常,メイン
31,ペンデュラム・ストーム,魔法,通常,メイン
32,ペンデュラム・ターン,魔法,通常,メイン
33,ペンデュラム・ターン,魔法,通常,メイン
34,魂のペンデュラム,魔法,通常,メイン
35,召魔装着,魔法,通常,メイン
36,召魔装着,魔法,通常,メイン
37,召魔装着,魔法,通常,メイン
38,ペンデュラム・エリア,罠,永続,メイン
39,ペンデュラム・バック,罠,永続,メイン
40,ペンデュラム・リボーン,罠,永続,メイン
41,覇道星シュラ,モンスター,通常,エクストラ
42,覇勝星イダテン,モンスター,通常,エクストラ
43,ライトロード・ドミニオン キュリオス,モンスター,通常,エクストラ
44,ヘビーメタルフォーゼ・エレクトラム,モンスター,通常,エクストラ
45,聖騎士の追想 イゾルデ,モンスター,通常,エクストラ
