No,カード名,カテゴリー,種類,場所
1,エレキテルドラゴン,モンスター,通常,メイン
2,ＰＳＹフレーム・ドライバー,モンスター,通常,メイン
3,エメラルド・ドラゴン,モンスター,通常,メイン
4,Ａ・Ｏ・Ｊ クラウソラス,モンスター,通常,メイン
5,ファイヤー・ウイング・ペガサス,モンスター,通常,メイン
6,ジャッジ・マン,モンスター,通常,メイン
7,竜角の狩猟者,モンスター,通常,メイン
8,竜角の狩猟者,モンスター,通常,メイン
9,竜角の狩猟者,モンスター,通常,メイン
10,ドラコニアの翼竜騎兵,モンスター,通常,メイン
11,ドラコニアの翼竜騎兵,モンスター,通常,メイン
12,フーコーの魔砲石,モンスター,通常,メイン
13,フーコーの魔砲石,モンスター,通常,メイン
14,フーコーの魔砲石,モンスター,通常,メイン
15,竜剣士マスターＰ,モンスター,通常,メイン
16,竜剣士マスターＰ,モンスター,通常,メイン
17,竜魔王ベクターＰ,モンスター,通常,メイン
18,竜魔王ベクターＰ,モンスター,通常,メイン
19,ドラコニアの獣竜騎兵,モンスター,通常,メイン
20,ドラコニアの獣竜騎兵,モンスター,通常,メイン
21,ドラコニアの獣竜騎兵,モンスター,通常,メイン
22,閃光の騎士,モンスター,通常,メイン
23,閃光の騎士,モンスター,通常,メイン
24,閃光の騎士,モンスター,通常,メイン
25,ドラコニアの海竜騎兵,モンスター,通常,メイン
26,ドラコニアの海竜騎兵,モンスター,通常,メイン
27,ドラコニアの海竜騎兵,モンスター,通常,メイン
28,召喚師のスキル,魔法,通常,メイン
29,召喚師のスキル,魔法,通常,メイン
30,苦渋の決断,魔法,通常,メイン
31,金満な壺,魔法,通常,メイン
32,凡骨の意地,魔法,通常,メイン
33,凡骨の意地,魔法,通常,メイン
34,凡骨の意地,魔法,通常,メイン
35,幻煌の都 パシフィス,魔法,通常,メイン
36,幻煌の都 パシフィス,魔法,通常,メイン
37,幻煌の都 パシフィス,魔法,通常,メイン
38,量子猫,罠,永続,メイン
39,量子猫,罠,永続,メイン
40,量子猫,罠,永続,メイン
41,Ｎｏ.８ 紋章王ゲノム・ヘリター,モンスター,通常,エクストラ
42,Ｎｏ.１８ 紋章祖プレイン・コート,モンスター,通常,エクストラ
