No,カード名,カテゴリー,種類,場所
1,古代の機械巨竜,モンスター,効果,メイン
2,古代の機械合成獣,モンスター,効果,メイン
3,ギアギアタッカー,モンスター,効果,メイン
4,穿孔重機ドリルジャンボ,モンスター,効果,メイン
5,マインフィールド,モンスター,効果,メイン
6,ギアギアーセナル,モンスター,効果,メイン
7,グリーン・ガジェット,モンスター,効果,メイン
8,グリーン・ガジェット,モンスター,効果,メイン
9,ギアギアクセル,モンスター,効果,メイン
10,巨大ネズミ,モンスター,効果,メイン
11,巨大ネズミ,モンスター,効果,メイン
12,レッド・ガジェット,モンスター,効果,メイン
13,レッド・ガジェット,モンスター,効果,メイン
14,イエロー・ガジェット,モンスター,効果,メイン
15,イエロー・ガジェット,モンスター,効果,メイン
16,ギアギアーマー,モンスター,効果,メイン
17,ギアギアングラー,モンスター,効果,メイン
18,ギアギアーノ Ｍｋ－ＩＩ,モンスター,効果,メイン
19,ギアギアーノ Ｍｋ－ＩＩ,モンスター,効果,メイン
20,ギアギアーノ Ｍｋ－ＩＩＩ,モンスター,効果,メイン
21,ギアギアーノ,モンスター,効果,メイン
22,ギアギアーノ,モンスター,効果,メイン
23,カードガンナー,モンスター,効果,メイン
24,速攻のかかし,モンスター,効果,メイン
25,強化支援メカ・ヘビーウェポン,モンスター,効果,メイン
26,オイルメン,モンスター,効果,メイン
27,レアメタル・ドラゴン,モンスター,効果,メイン
28,二重召喚,魔法,通常,メイン
29,地割れ,魔法,通常,メイン
30,地砕き,魔法,通常,メイン
31,テラ・フォーミング,魔法,通常,メイン
32,強制転移,魔法,通常,メイン
33,リミッター解除,魔法,速攻,メイン
34,マシン・デベロッパー,魔法,永続,メイン
35,歯車街,魔法,フィールド,メイン
36,歯車街,魔法,フィールド,メイン
37,メタル化・魔法反射装甲,罠,通常,メイン
38,ギアギアギア,罠,通常,メイン
39,機動砦 ストロング・ホールド,罠,永続,メイン
40,レアメタル化・魔法反射装甲,罠,永続,メイン
41,ギアギガント Ｘ,モンスター,エクシーズ,エクストラ
42,ギアギアギア ＸＧ,モンスター,エクシーズ,エクストラ
