No,カード名,カテゴリー,種類,場所
1,ファイヤー・ハンド,モンスター,通常,メイン
2,ファイヤー・ハンド,モンスター,通常,メイン
3,アイス・ハンド,モンスター,通常,メイン
4,アイス・ハンド,モンスター,通常,メイン
5,黒き森のウィッチ,モンスター,通常,メイン
6,黒き森のウィッチ,モンスター,通常,メイン
7,召喚僧サモンプリースト,モンスター,通常,メイン
8,プランキッズ・ランプ,モンスター,通常,メイン
9,プランキッズ・ランプ,モンスター,通常,メイン
10,クリッター,モンスター,通常,メイン
11,プランキッズ・ドロップ,モンスター,通常,メイン
12,プランキッズ・ドロップ,モンスター,通常,メイン
13,デビル・フランケン,モンスター,通常,メイン
14,プランキッズ・パルス,モンスター,通常,メイン
15,プランキッズ・パルス,モンスター,通常,メイン
16,簡易融合,魔法,通常,メイン
17,融合,魔法,通常,メイン
18,融合,魔法,通常,メイン
19,融合賢者,魔法,通常,メイン
20,貪欲な壺,魔法,通常,メイン
21,死者蘇生,魔法,通常,メイン
22,プランキッズの大暴走,魔法,通常,メイン
23,プランキッズの大暴走,魔法,通常,メイン
24,プランキッズ・プランク,魔法,通常,メイン
25,プランキッズ・プランク,魔法,通常,メイン
26,再融合,魔法,通常,メイン
27,プランキッズ・ハウス,魔法,通常,メイン
28,プランキッズ・ハウス,魔法,通常,メイン
29,サンダー・ブレイク,罠,永続,メイン
30,サンダー・ブレイク,罠,永続,メイン
31,メタバース,罠,永続,メイン
32,プランキッズの大作戦,罠,永続,メイン
33,プランキッズの大作戦,罠,永続,メイン
34,プランキッズの大作戦,罠,永続,メイン
35,リビングデッドの呼び声,罠,永続,メイン
36,リビングデッドの呼び声,罠,永続,メイン
37,攻撃の無力化,カウンター,カウンター,メイン
38,攻撃の無力化,カウンター,カウンター,メイン
39,キックバック,カウンター,カウンター,メイン
40,キックバック,カウンター,カウンター,メイン
41,プランキッズ・ハウスバトラー,モンスター,通常,エクストラ
42,プランキッズ・ロケット,モンスター,通常,エクストラ
43,プランキッズ・ウェザー,モンスター,通常,エクストラ
