No,カード名,カテゴリー,種類,場所
1,フォーチュンレディ・アーシー,モンスター,通常,メイン
2,フォーチュンレディ・ダルキー,モンスター,通常,メイン
3,フォーチュンレディ・ダルキー,モンスター,通常,メイン
4,フォーチュンレディ・ダルキー,モンスター,通常,メイン
5,フォーチュンレディ・ウォーテリー,モンスター,通常,メイン
6,フォーチュンレディ・ウォーテリー,モンスター,通常,メイン
7,フォーチュンレディ・ウインディー,モンスター,通常,メイン
8,フォーチュンレディ・ウインディー,モンスター,通常,メイン
9,フォーチュンレディ・ファイリー,モンスター,通常,メイン
10,フォーチュンレディ・ファイリー,モンスター,通常,メイン
11,占い魔女 ヒカリちゃん,モンスター,通常,メイン
12,占い魔女 ヒカリちゃん,モンスター,通常,メイン
13,占い魔女 ヒカリちゃん,モンスター,通常,メイン
14,フォーチュンレディ・ライティー,モンスター,通常,メイン
15,フォーチュンレディ・ライティー,モンスター,通常,メイン
16,フォーチュンレディ・ライティー,モンスター,通常,メイン
17,フォーチュンレディ・パスティー,罠,永続,メイン
18,フォーチュンレディ・パスティー,罠,永続,メイン
19,無情の抹殺,魔法,通常,メイン
20,ルドラの魔導書,魔法,通常,メイン
21,ルドラの魔導書,魔法,通常,メイン
22,テラ・フォーミング,魔法,通常,メイン
23,フォーチュンフューチャー,魔法,通常,メイン
24,フォーチュンフューチャー,魔法,通常,メイン
25,フォーチュンフューチャー,魔法,通常,メイン
26,死者蘇生,魔法,通常,メイン
27,フォーチュンレディ・コーリング,モンスター,通常,メイン
28,フォーチュンレディ・コーリング,モンスター,通常,メイン
29,タイムパッセージ,魔法,通常,メイン
30,タイムパッセージ,魔法,通常,メイン
31,フォーチュン・ヴィジョン,モンスター,通常,メイン
32,フォーチュン・ヴィジョン,モンスター,通常,メイン
33,フォーチュン・ヴィジョン,モンスター,通常,メイン
34,ワンダー・ワンド,魔法,通常,メイン
35,ワンダー・ワンド,魔法,通常,メイン
36,フューチャー・ヴィジョン,魔法,通常,メイン
37,フューチャー・ヴィジョン,魔法,通常,メイン
38,フューチャー・ヴィジョン,魔法,通常,メイン
39,聖なるバリア －ミラーフォース－,罠,永続,メイン
40,波紋のバリア －ウェーブ・フォース－,罠,永続,メイン
41,フォーチュンレディ・エヴァリー,モンスター,通常,エクストラ
42,フォーチュンレディ・エヴァリー,モンスター,通常,エクストラ
43,フォーチュンレディ・エヴァリー,モンスター,通常,エクストラ
