No,カード名,カテゴリー,種類,場所
1,海皇龍 ポセイドラ,モンスター,通常,メイン
2,深海の怒り,モンスター,通常,メイン
3,アビス・ソルジャー,モンスター,通常,メイン
4,メタボ・シャーク,モンスター,通常,メイン
5,ハンマー・シャーク,モンスター,通常,メイン
6,ハンマー・シャーク,モンスター,通常,メイン
7,ウミノタウルス,モンスター,通常,メイン
8,光鱗のトビウオ,モンスター,通常,メイン
9,スピア・シャーク,モンスター,通常,メイン
10,水の精霊 アクエリア,モンスター,通常,メイン
11,セイバー・シャーク,モンスター,通常,メイン
12,セイバー・シャーク,モンスター,通常,メイン
13,ハイドロゲドン,モンスター,通常,メイン
14,ハイドロゲドン,モンスター,通常,メイン
15,ハイドロゲドン,モンスター,通常,メイン
16,シャクトパス,モンスター,通常,メイン
17,ツーヘッド・シャーク,モンスター,通常,メイン
18,ダブルフィン・シャーク,モンスター,通常,メイン
19,ダブルフィン・シャーク,モンスター,通常,メイン
20,サイレント・アングラー,モンスター,通常,メイン
21,サイレント・アングラー,モンスター,通常,メイン
22,ビッグ・ジョーズ,モンスター,通常,メイン
23,キラー・ラブカ,モンスター,通常,メイン
24,キラー・ラブカ,モンスター,通常,メイン
25,シャーク・サッカー,モンスター,通常,メイン
26,シャーク・サッカー,モンスター,通常,メイン
27,鰤っ子姫,モンスター,通常,メイン
28,アクア・ジェット,魔法,通常,メイン
29,アクア・ジェット,魔法,通常,メイン
30,浮上,魔法,通常,メイン
31,補給部隊,魔法,通常,メイン
32,白の救済,魔法,通常,メイン
33,陰謀の盾,罠,永続,メイン
34,ポセイドン・ウェーブ,罠,永続,メイン
35,ポセイドン・ウェーブ,罠,永続,メイン
36,フィッシャーチャージ,罠,永続,メイン
37,銀幕の鏡壁,罠,永続,メイン
38,バブル・ブリンガー,罠,永続,メイン
39,強化蘇生,罠,永続,メイン
40,強化蘇生,罠,永続,メイン
41,Ｎｏ.７３ 激瀧神アビス・スプラッシュ,モンスター,通常,エクストラ
42,Ｎｏ.３７ 希望織竜スパイダー・シャーク,モンスター,通常,エクストラ
43,Ｎｏ.１７ リバイス・ドラゴン,モンスター,通常,エクストラ
