No,カード名,カテゴリー,種類,場所
1,魔天使ローズ・ソーサラー,モンスター,効果,メイン
2,凛天使クイーン・オブ・ローズ,モンスター,効果,メイン
3,アロマージ－ベルガモット,モンスター,効果,メイン
4,アロマージ－ベルガモット,モンスター,効果,メイン
5,にん人,モンスター,効果,メイン
6,アロマージ－ローズマリー,モンスター,効果,メイン
7,アロマージ－ローズマリー,モンスター,効果,メイン
8,アロマージ－ローズマリー,モンスター,効果,メイン
9,薔薇の聖騎士,モンスター,効果,メイン
10,ブルーローズ・ドラゴン,モンスター,効果,メイン
11,ロードポイズン,モンスター,効果,メイン
12,返り咲く薔薇の大輪,モンスター,効果,メイン
13,ＢＫ ベイル,モンスター,効果,メイン
14,アロマージ－カナンガ,モンスター,効果,メイン
15,夜薔薇の騎士,モンスター,効果,メイン
16,夜薔薇の騎士,モンスター,効果,メイン
17,素早いモモンガ,モンスター,効果,メイン
18,素早いモモンガ,モンスター,効果,メイン
19,素早いモモンガ,モンスター,効果,メイン
20,アロマージ－ジャスミン,モンスター,効果,メイン
21,アロマージ－ジャスミン,モンスター,効果,メイン
22,アロマージ－ジャスミン,モンスター,効果,メイン
23,薔薇恋人,モンスター,効果,メイン
24,アロマポット,モンスター,効果,メイン
25,スポーア,モンスター,効果,メイン
26,アロマセラフィ－アンゼリカ,モンスター,効果,メイン
27,アロマセラフィ－アンゼリカ,モンスター,効果,メイン
28,増援,魔法,通常,メイン
29,ソウルテイカー,魔法,通常,メイン
30,ご隠居の猛毒薬,魔法,速攻,メイン
31,サイコ・ブレイド,魔法,装備,メイン
32,サイコ・ブレイド,魔法,装備,メイン
33,アロマガーデン,魔法,フィールド,メイン
34,アロマガーデン,魔法,フィールド,メイン
35,フリッグのリンゴ,罠,通常,メイン
36,ドレインシールド,罠,通常,メイン
37,魔法の筒,罠,通常,メイン
38,渇きの風,罠,永続,メイン
39,強化蘇生,罠,永続,メイン
40,潤いの風,罠,永続,メイン
41,天穹覇龍ドラゴアセンション,モンスター,シンクロ,エクストラ
42,鬼岩城,モンスター,シンクロ,エクストラ
43,メンタルスフィア・デーモン,モンスター,シンクロ,エクストラ
44,アロマセラフィ－ローズマリー,モンスター,シンクロ,エクストラ
