No,カード名,カテゴリー,種類,場所
1,トラゴエディア,モンスター,通常,メイン
2,紋章獣レオ,モンスター,通常,メイン
3,紋章獣レオ,モンスター,通常,メイン
4,オーバーレイ・スナイパー,モンスター,通常,メイン
5,紋章獣アバコーンウェイ,モンスター,通常,メイン
6,紋章獣アバコーンウェイ,モンスター,通常,メイン
7,紋章獣アバコーンウェイ,モンスター,通常,メイン
8,エクシーズ・アヴェンジャー,モンスター,通常,メイン
9,紋章獣アンフィスバエナ,モンスター,通常,メイン
10,紋章獣アンフィスバエナ,モンスター,通常,メイン
11,紋章獣アンフィスバエナ,モンスター,通常,メイン
12,アステル・ドローン,モンスター,通常,メイン
13,アステル・ドローン,モンスター,通常,メイン
14,俊足なカバ バリキテリウム,モンスター,通常,メイン
15,紋章獣ツインヘッド・イーグル,モンスター,通常,メイン
16,紋章獣ユニコーン,モンスター,通常,メイン
17,紋章獣ユニコーン,モンスター,通常,メイン
18,紋章獣エアレー,モンスター,通常,メイン
19,紋章獣エアレー,モンスター,通常,メイン
20,紋章獣ベルナーズ・ファルコン,モンスター,通常,メイン
21,紋章獣バシリスク,モンスター,通常,メイン
22,紋章獣バシリスク,モンスター,通常,メイン
23,Ｈ・Ｃ エクストラ・ソード,モンスター,通常,メイン
24,トイナイト,モンスター,通常,メイン
25,トイナイト,モンスター,通常,メイン
26,高等紋章術,魔法,通常,メイン
27,高等紋章術,魔法,通常,メイン
28,おろかな埋葬,魔法,通常,メイン
29,蘇生紋章,魔法,通常,メイン
30,蘇生紋章,魔法,通常,メイン
31,ジェネレーション・フォース,魔法,通常,メイン
32,エクシーズ・ダブル・バック,魔法,通常,メイン
33,ダブル・サイクロン,魔法,通常,メイン
34,ストイック・チャレンジ,魔法,通常,メイン
35,昇華する紋章,魔法,通常,メイン
36,昇華する紋章,魔法,通常,メイン
37,紋章変換,罠,永続,メイン
38,エクシーズ・リボーン,罠,永続,メイン
39,ワンダー・エクシーズ,罠,永続,メイン
40,エクシーズ・リフレクト,カウンター,カウンター,メイン
41,Ｎｏ.６９ 紋章神コート・オブ・アームズ,モンスター,通常,エクストラ
42,Ｎｏ.８ 紋章王ゲノム・ヘリター,モンスター,通常,エクストラ
43,Ｎｏ.１８ 紋章祖プレイン・コート,モンスター,通常,エクストラ
