No,カード名,カテゴリー,種類,場所
1,アーマード・サイキッカー,モンスター,通常,メイン
2,スペースタイムポリス,モンスター,通常,メイン
3,ファイナルサイコオーガ,モンスター,通常,メイン
4,沈黙のサイコウィザード,モンスター,通常,メイン
5,沈黙のサイコウィザード,モンスター,通常,メイン
6,パンダボーグ,モンスター,通常,メイン
7,強化人類サイコ,モンスター,通常,メイン
8,静寂のサイコウィッチ,モンスター,通常,メイン
9,静寂のサイコウィッチ,モンスター,通常,メイン
10,調星師ライズベルト,モンスター,通常,メイン
11,調星師ライズベルト,モンスター,通常,メイン
12,調星師ライズベルト,モンスター,通常,メイン
13,寡黙なるサイコプリースト,モンスター,通常,メイン
14,寡黙なるサイコプリースト,モンスター,通常,メイン
15,寡黙なるサイコプリースト,モンスター,通常,メイン
16,サイキック・ビースト,モンスター,通常,メイン
17,サイキック・ビースト,モンスター,通常,メイン
18,テレポンＤ.Ｄ.,モンスター,通常,メイン
19,サイコ・コマンダー,モンスター,通常,メイン
20,クレボンス,モンスター,通常,メイン
21,クレボンス,モンスター,通常,メイン
22,サイ・ガール,モンスター,通常,メイン
23,サイ・ガール,モンスター,通常,メイン
24,サイコジャンパー,モンスター,通常,メイン
25,サイコジャンパー,モンスター,通常,メイン
26,リ・バイブル,モンスター,通常,メイン
27,二重召喚,魔法,通常,メイン
28,二重召喚,魔法,通常,メイン
29,サイキック・インパルス,魔法,通常,メイン
30,サイキック・インパルス,魔法,通常,メイン
31,精神操作,魔法,通常,メイン
32,死者蘇生,魔法,通常,メイン
33,サイクロン,魔法,通常,メイン
34,緊急テレポート,魔法,通常,メイン
35,フューチャー・グロウ,魔法,通常,メイン
36,フューチャー・グロウ,魔法,通常,メイン
37,聖なるバリア －ミラーフォース－,罠,永続,メイン
38,リビングデッドの呼び声,罠,永続,メイン
39,ブレインハザード,罠,永続,メイン
40,ブレインハザード,罠,永続,メイン
41,アルティメットサイキッカー,モンスター,通常,エクストラ
42,メンタルオーバー・デーモン,モンスター,通常,エクストラ
43,ハイパーサイコガンナー,モンスター,通常,エクストラ
44,メンタルスフィア・デーモン,モンスター,通常,エクストラ
45,サイコ・ヘルストランサー,モンスター,通常,エクストラ
46,サイコ・デビル,モンスター,通常,エクストラ
47,マジカル・アンドロイド,モンスター,通常,エクストラ
