No,カード名,カテゴリー,種類,場所
1,超古深海王シーラカンス,モンスター,通常,メイン
2,深海の怒り,モンスター,通常,メイン
3,ハンマー・シャーク,モンスター,通常,メイン
4,ハンマー・シャーク,モンスター,通常,メイン
5,竜宮の白タウナギ,モンスター,通常,メイン
6,光鱗のトビウオ,モンスター,通常,メイン
7,白棘鱏,モンスター,通常,メイン
8,白棘鱏,モンスター,通常,メイン
9,ダブルフィン・シャーク,モンスター,通常,メイン
10,ダブルフィン・シャーク,モンスター,通常,メイン
11,サイレント・アングラー,モンスター,通常,メイン
12,サイレント・アングラー,モンスター,通常,メイン
13,フィッシュボーグ－ドクター,モンスター,通常,メイン
14,キラー・ラブカ,モンスター,通常,メイン
15,スチーム・シンクロン,モンスター,通常,メイン
16,スカイオニヒトクイエイ,モンスター,通常,メイン
17,フィッシュボーグ－アーチャー,モンスター,通常,メイン
18,フィッシュボーグ－アーチャー,モンスター,通常,メイン
19,素早いマンボウ,モンスター,通常,メイン
20,素早いマンボウ,モンスター,通常,メイン
21,素早いマンボウ,モンスター,通常,メイン
22,フィッシュボーグ－ランチャー,モンスター,通常,メイン
23,フィッシュボーグ－ランチャー,モンスター,通常,メイン
24,屈強の釣り師,モンスター,通常,メイン
25,鰤っ子姫,モンスター,通常,メイン
26,アクア・ジェット,魔法,通常,メイン
27,強欲なウツボ,魔法,通常,メイン
28,浮上,魔法,通常,メイン
29,浮上,魔法,通常,メイン
30,ウォーターハザード,魔法,通常,メイン
31,サルベージ,魔法,通常,メイン
32,異次元海溝,魔法,通常,メイン
33,白の救済,魔法,通常,メイン
34,ポセイドン・ウェーブ,罠,永続,メイン
35,バージェストマ・オレノイデス,罠,永続,メイン
36,フィッシャーチャージ,罠,永続,メイン
37,白の咆哮,罠,永続,メイン
38,デビル・コメディアン,罠,永続,メイン
39,忘却の海底神殿,罠,永続,メイン
40,バブル・ブリンガー,罠,永続,メイン
41,白闘気一角,モンスター,通常,エクストラ
42,白闘気海豚,モンスター,通常,エクストラ
43,白闘気双頭神龍,モンスター,通常,エクストラ
